seeker_id,squad_account_number,first_name,last_name,email,phone_number,location,languages_spoken,skills_list,zovu_pulse_score,trust_score,punctuality_index,completion_rate,ajo_savings_balance,auto_save_pct,shield_status,emergency_contact_phone,created_at,updated_at
S_500000,9950199414,Mary,Adebayo,mary.adebayo204@gmail.com,05759874329,Mile 12,['Yoruba'],"['Logistics', 'Driving']",96.2,0.9,0.76,0.83,7062.73,0.05,Family,04189147253,2026-01-22 21:46:23.449909,2026-02-01 21:46:23.449909
S_500001,9950484124,Folashade,Adeyemi,folashade.adeyemi896@gmail.com,05346320313,Alaba,['English'],['Logistics'],43.9,0.43,0.56,0.2,31955.93,0.05,None,09525908869,2026-03-01 21:46:23.450035,2026-03-12 21:46:23.450035
S_500002,9921341222,Ibrahim,Adebayo,ibrahim.adebayo522@gmail.com,07421923962,Ketu,"['Hausa', 'Igbo']","['Driving', 'Sales']",32.2,0.76,0.1,0.96,31969.42,0.1,None,08998049105,2025-12-26 21:46:23.450117,2026-01-01 21:46:23.450117
S_500003,9976013326,Chioma,Abubakar,chioma.abubakar510@gmail.com,05542965663,Mile 12,"['Yoruba', 'English']",['Packaging'],69.7,0.55,0.79,0.52,34244.21,0.05,None,08212888833,2025-11-25 21:46:23.450189,2025-12-01 21:46:23.450189
S_500004,9913862139,Chinedu,Abubakar,chinedu.abubakar759@gmail.com,02057121533,Oshodi,['Hausa'],"['Driving', 'Sales']",58.4,0.7,0.12,0.94,39878.81,0.15,Personal,01862251175,2026-03-30 21:46:23.450247,2026-04-04 21:46:23.450247
S_500005,9914113859,Joshua,Adebayo,joshua.adebayo292@gmail.com,07959865200,Balogun,['English'],['Logistics'],77.5,0.33,0.73,0.12,29926.52,0.15,Family,06499089514,2026-02-04 21:46:23.450306,2026-02-12 21:46:23.450306
S_500006,9929742431,Tunde,Abubakar,tunde.abubakar167@gmail.com,01203664890,Mushin,"['Yoruba', 'Pidgin']",['Stock Counting'],71.0,0.41,0.41,0.21,24529.23,0.0,None,07307553542,2025-10-26 21:46:23.450361,2025-10-29 21:46:23.450361
S_500007,9956146604,Tunde,Abubakar,tunde.abubakar23@gmail.com,05366521054,Alaba,"['Yoruba', 'English', 'Pidgin']",['Packaging'],91.2,0.15,0.51,1.0,31876.78,0.05,Family,00419639460,2026-01-12 21:46:23.450416,2026-01-16 21:46:23.450416
S_500008,9991271451,Zainab,Suleiman,zainab.suleiman269@gmail.com,03853858166,Mushin,"['Hausa', 'Yoruba', 'English']",['Packaging'],22.8,0.76,0.41,0.71,36028.47,0.0,Personal,00407689186,2026-04-11 21:46:23.450470,2026-04-17 21:46:23.450470
S_500009,9993357323,Aminu,Adeyemi,aminu.adeyemi136@gmail.com,09978450372,Balogun,['Hausa'],['Driving'],88.7,0.56,0.79,0.45,34118.02,0.05,Personal,04606060892,2026-02-16 21:46:23.450523,2026-02-20 21:46:23.450523
S_500010,9941360781,Olumide,Uba,olumide.uba134@gmail.com,06438549690,Alaba,"['Igbo', 'Yoruba']","['Sales', 'Packaging']",88.1,0.22,0.9,0.69,13709.36,0.05,Family,05923123500,2025-12-19 21:46:23.450575,2025-12-27 21:46:23.450575
S_500011,9967081420,Emeka,Balogun,emeka.balogun573@gmail.com,07841375164,Balogun,['Hausa'],"['Sales', 'Driving']",96.7,0.93,0.24,0.87,18281.51,0.05,Family,08674523193,2025-12-08 21:46:23.450634,2025-12-18 21:46:23.450634
S_500012,9988456402,Funke,Suleiman,funke.suleiman242@gmail.com,05903331264,Ketu,['Yoruba'],"['Heavy Lifting', 'Sales']",92.9,0.85,0.14,0.91,46711.51,0.0,Personal,04227575233,2025-10-29 21:46:23.450696,2025-11-10 21:46:23.450696
S_500013,9918478693,Tunde,Okoro,tunde.okoro940@gmail.com,09717364926,Oshodi,"['Igbo', 'English']",['Stock Counting'],78.9,0.5,0.34,0.5,18301.32,0.15,None,07070901112,2025-11-13 21:46:23.450748,2025-11-17 21:46:23.450748
S_500014,9928146091,Ibrahim,Ibrahim,ibrahim.ibrahim425@gmail.com,04991666944,Mushin,"['English', 'Yoruba']","['Sales', 'Logistics']",93.1,0.43,0.97,0.29,36172.0,0.1,None,00444859591,2026-02-03 21:46:23.450805,2026-02-12 21:46:23.450805
S_500015,9955493882,Aisha,Uba,aisha.uba604@gmail.com,09294796003,Mile 12,"['English', 'Hausa']",['Heavy Lifting'],23.7,0.95,0.1,0.2,27886.72,0.0,Family,07171496380,2026-01-22 21:46:23.450862,2026-01-23 21:46:23.450862
S_500016,9969737756,Funke,Eze,funke.eze949@gmail.com,00075975356,Balogun,"['Pidgin', 'Igbo', 'Hausa']",['Driving'],89.2,0.22,0.24,0.53,2271.11,0.0,None,06473069364,2026-02-06 21:46:23.450916,2026-02-18 21:46:23.450916
S_500017,9947397792,Nneka,Nwosu,nneka.nwosu483@gmail.com,01769819877,Idumota,['Yoruba'],['Packaging'],19.3,0.95,0.57,0.61,19777.2,0.0,None,08047457164,2025-11-22 21:46:23.450969,2025-12-07 21:46:23.450969
S_500018,9961205117,Mary,Balogun,mary.balogun216@gmail.com,09366698506,Mushin,"['Yoruba', 'Hausa']","['Driving', 'Logistics']",77.1,0.25,0.15,0.63,27174.39,0.05,None,03805063519,2025-12-08 21:46:23.451021,2025-12-12 21:46:23.451021
S_500019,9965342488,Ibrahim,Nwosu,ibrahim.nwosu46@gmail.com,03421476710,Ketu,"['Yoruba', 'English']",['Heavy Lifting'],37.5,0.09,0.28,0.23,19666.46,0.15,Family,06393253429,2026-01-03 21:46:23.451074,2026-01-05 21:46:23.451074
