trader_id,squad_account_number,business_name,business_type,first_name,last_name,email,phone_number,location,primary_language,nin_number,bvn_number,total_revenue_monthly,total_transactions_monthly,average_monthly_revenue,ajo_savings_balance,ajo_goal_amount,ajo_consistency_score,zovu_pulse_score,max_credit_limit,shield_status,created_at,updated_at
T_100000,9996855819,Brother Mary's Global,Small Kiosk,Mary,Abiola,mary.abiola47@gmail.com,03809556403,Idumota,Pidgin,13889072894,88106109631,1498189.58,1261,1188.1,227121.24,2247000.0,0.86,83.2,1498200.0,Silver,2025-06-22 21:46:23.312255,2025-07-07 21:46:23.312255
T_100001,9967476160,Madam Olumide's Hub,Small Kiosk,Olumide,Nwosu,olumide.nwosu66@gmail.com,00745176042,Ketu,Igbo,10170170719,04630716542,1284514.09,658,1952.15,165405.6,1927000.0,0.72,56.1,513800.0,Bronze,2025-10-20 21:46:23.312533,2025-11-01 21:46:23.312533
T_100002,9998175329,Alhaji Abubakar's Global,Wholesaler,Abubakar,Abubakar,abubakar.abubakar87@gmail.com,03335132055,Alaba,Hausa,88012620291,66501328409,322423.89,1356,237.78,52892.79,484000.0,0.49,59.9,129000.0,None,2025-11-23 21:46:23.312668,2025-12-21 21:46:23.312668
T_100003,9959071456,Madam Chioma's Hub,Small Kiosk,Chioma,Adebayo,chioma.adebayo43@gmail.com,07385251073,Balogun,Hausa,42209269138,65066567230,876361.12,932,940.3,169576.85,1315000.0,0.52,84.2,876400.0,None,2025-07-28 21:46:23.312782,2025-07-31 21:46:23.312782
T_100004,9969709745,Sister Joshua's Hub,Small Kiosk,Joshua,Adebayo,joshua.adebayo62@gmail.com,04058793445,Idumota,Igbo,80252158965,17273456367,1055562.85,972,1085.97,177873.37,1583000.0,0.63,92.3,2111100.0,Silver,2025-09-26 21:46:23.313007,2025-10-18 21:46:23.313007
T_100005,9943017660,Brother Abubakar's Global,Wholesaler,Abubakar,Yusuf,abubakar.yusuf15@gmail.com,08816710814,Oshodi,English,83473300564,08897156566,610957.46,1298,470.69,90446.69,916000.0,0.75,5.8,0.0,Gold,2025-10-10 21:46:23.313133,2025-10-29 21:46:23.313133
T_100006,9968960692,Alhaji Mary's Wholesale,Retailer,Mary,Balogun,mary.balogun95@gmail.com,05869005589,Alaba,English,54444239888,09787255608,244697.38,527,464.32,48060.65,367000.0,0.84,5.0,0.0,Silver,2025-11-15 21:46:23.313244,2025-11-19 21:46:23.313244
T_100007,9926906503,Baba Kelechi's Enterprises,Small Kiosk,Kelechi,Ibrahim,kelechi.ibrahim47@gmail.com,01663320895,Mushin,Pidgin,98135060297,19267505819,1188104.5,1104,1076.18,70436.81,1782000.0,0.38,95.0,2376200.0,Gold,2025-09-29 21:46:23.313346,2025-10-20 21:46:23.313346
T_100008,9952140438,Sister Tunde's Global,Wholesaler,Tunde,Ibrahim,tunde.ibrahim74@gmail.com,04643734438,Balogun,Yoruba,13956020360,75396211393,2255933.73,704,3204.45,368271.49,3384000.0,0.96,40.0,0.0,None,2025-07-26 21:46:23.313452,2025-08-11 21:46:23.313452
T_100009,9956082396,Madam Mary's Wholesale,Retailer,Mary,Balogun,mary.balogun40@gmail.com,07853814575,Alaba,Hausa,52629670559,94611669105,715598.2,500,1431.2,84034.49,1073000.0,0.68,26.3,0.0,None,2025-10-28 21:46:23.313558,2025-10-30 21:46:23.313558
T_100010,9959666014,Madam Aminu's Wholesale,Online Vendor,Aminu,Uba,aminu.uba35@gmail.com,06145129879,Ketu,Igbo,62274587467,41649632180,2117121.66,623,3398.27,369517.56,3176000.0,0.93,2.3,0.0,Gold,2025-12-25 21:46:23.313656,2026-01-02 21:46:23.313656
T_100011,9979634658,Sister Chioma's Global,Wholesaler,Chioma,Nwosu,chioma.nwosu39@gmail.com,07122343443,Mushin,Yoruba,68676283236,27074229300,1578781.13,952,1658.38,168693.62,2368000.0,0.42,94.8,3157600.0,Bronze,2025-12-06 21:46:23.313771,2025-12-07 21:46:23.313771
T_100012,9966120336,Mama Aminu's Enterprises,Wholesaler,Aminu,Adebayo,aminu.adebayo11@gmail.com,07223388131,Mushin,English,63889820659,74527663629,1648996.79,607,2716.63,174661.51,2473000.0,0.43,84.7,1649000.0,Silver,2025-10-06 21:46:23.313876,2025-10-15 21:46:23.313876
T_100013,9950976766,Alhaji Bolanle's Stall,Retailer,Bolanle,Balogun,bolanle.balogun22@gmail.com,01524497096,Balogun,Igbo,86715390688,10088376100,432751.64,558,775.54,33116.03,649000.0,0.51,8.0,0.0,Bronze,2026-01-02 21:46:23.313979,2026-02-01 21:46:23.313979
T_100014,9996675526,Brother Funke's Wholesale,Retailer,Funke,Yusuf,funke.yusuf90@gmail.com,06220909444,Ketu,Igbo,12880742192,57339920184,2206803.21,391,5644.0,285109.59,3310000.0,0.52,55.9,882700.0,Gold,2026-02-07 21:46:23.314082,2026-02-27 21:46:23.314082
T_100015,9957374661,Brother Joshua's Wholesale,Retailer,Joshua,Uba,joshua.uba87@gmail.com,05230204686,Idumota,English,44019696341,28709728676,1908196.98,770,2478.18,253351.22,2862000.0,0.49,56.9,763300.0,Gold,2025-06-28 21:46:23.314186,2025-07-13 21:46:23.314186
T_100016,9914222116,Brother Zainab's Retail,Wholesaler,Zainab,Suleiman,zainab.suleiman31@gmail.com,00219418939,Balogun,English,63225248058,30056306396,285191.03,799,356.93,48591.89,428000.0,0.92,33.2,0.0,Silver,2026-01-11 21:46:23.314292,2026-01-23 21:46:23.314292
T_100017,9977124520,Alhaji Olumide's Global,Small Kiosk,Olumide,Balogun,olumide.balogun45@gmail.com,07395338996,Balogun,English,20862597702,30237987120,440878.31,400,1102.2,44128.56,661000.0,0.34,57.0,176400.0,Bronze,2025-12-22 21:46:23.314401,2025-12-29 21:46:23.314401
T_100018,9957403572,Brother Blessing's Enterprises,Small Kiosk,Blessing,Balogun,blessing.balogun38@gmail.com,05091375193,Ketu,Yoruba,01653139654,03435264307,1601219.58,1240,1291.31,108295.4,2402000.0,0.43,83.4,1601200.0,Bronze,2025-11-11 21:46:23.314500,2025-11-16 21:46:23.314500
T_100019,9997811239,Sister Sadiq's Wholesale,Retailer,Sadiq,Okonkwo,sadiq.okonkwo65@gmail.com,01244949526,Ketu,Hausa,67451921614,55109976115,1864422.46,529,3524.43,347030.28,2797000.0,0.81,99.6,3728800.0,None,2025-09-12 21:46:23.314599,2025-10-06 21:46:23.314599
T_100020,9969280477,Madam Blessing's Wholesale,Small Kiosk,Blessing,Abubakar,blessing.abubakar5@gmail.com,04498420858,Mushin,English,19648405406,11123320172,461450.29,278,1659.89,42152.03,692000.0,0.64,73.0,461500.0,Gold,2025-10-15 21:46:23.314701,2025-10-18 21:46:23.314701
